period,n_clients,mean_return_3.0,mean_return_420_static,mean_vol_3.0,mean_vol_420_static,mean_sharpe_3.0,mean_sharpe_420_static,mean_abs_delta_sigma,win_rate_return,win_rate_sharpe,win_rate_abs_delta_sigma,mean_abs_delta_sigma_3.0,mean_abs_delta_sigma_420_static
10y,35,0.071208,0.057425,0.057829,0.050583,1.050524,1.005222,0.011995,0.857143,0.600000,0.571429,0.024149,0.028995
1y,35,0.165026,0.117752,0.053414,0.039019,2.153316,1.815902,0.015616,0.857143,0.885714,0.714286,0.028416,0.039310
20y,35,0.071289,0.064798,0.087388,0.078871,0.779046,0.864745,0.017538,0.771429,0.457143,0.657143,0.032979,0.034187
3y,35,0.102545,0.074589,0.059944,0.051540,1.473812,1.298109,0.013041,0.857143,0.742857,0.571429,0.023306,0.028592
5y,35,0.071663,0.050715,0.058830,0.051257,1.121191,1.012060,0.012715,0.885714,0.600000,0.571429,0.023894,0.028754
